epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.541,1.39901,1.29479,1.24983,0.74497,0.62003,0.69828,0.47658,1.18458,1.16251,1.16256,0.000415833,0.000415833,0.000415833
2,249.145,1.31764,1.16769,1.21192,0.73496,0.64259,0.70143,0.45048,1.25436,1.13846,1.19146,0.000824258,0.000824258,0.000824258
3,376.798,1.30214,1.15103,1.20336,0.72257,0.64995,0.72274,0.50877,1.12114,1.0279,1.13912,0.00122443,0.00122443,0.00122443
4,499.768,1.26054,1.10527,1.1837,0.67829,0.64045,0.70847,0.48582,1.15912,1.13147,1.15662,0.00121287,0.00121287,0.00121287
5,622.976,1.21291,1.06342,1.16561,0.76917,0.68976,0.78149,0.56261,1.08282,0.97415,1.12044,0.0012005,0.0012005,0.0012005
6,747.943,1.1782,1.02,1.14096,0.7643,0.68238,0.77027,0.5464,1.06881,0.93965,1.10257,0.00118812,0.00118812,0.00118812
7,872.301,1.13158,0.98714,1.12762,0.77759,0.72337,0.79101,0.59186,0.98994,0.88669,1.0645,0.00117575,0.00117575,0.00117575
8,995.789,1.11025,0.94971,1.11006,0.7899,0.72068,0.80879,0.61072,0.96927,0.86151,1.05005,0.00116337,0.00116337,0.00116337
9,1118.97,1.08314,0.92386,1.09394,0.784,0.70879,0.79239,0.59801,0.99345,0.88043,1.0609,0.001151,0.001151,0.001151
10,1241.92,1.07349,0.91353,1.09033,0.77636,0.74282,0.81811,0.62544,0.9482,0.83719,1.03995,0.00113863,0.00113863,0.00113863
11,1370.12,1.05886,0.90428,1.08665,0.78318,0.74926,0.8317,0.63972,0.91043,0.81087,1.02108,0.00112625,0.00112625,0.00112625
12,1497.86,1.03759,0.87239,1.06947,0.80582,0.74039,0.8335,0.65297,0.89488,0.7949,1.01339,0.00111388,0.00111388,0.00111388
13,1626.21,1.01486,0.86544,1.06948,0.78823,0.75698,0.8355,0.65637,0.88681,0.78388,1.01074,0.0011015,0.0011015,0.0011015
14,1755.57,1.00811,0.8554,1.06052,0.75569,0.7555,0.82846,0.64942,0.89763,0.7782,1.01322,0.00108913,0.00108913,0.00108913
15,1884.15,0.99333,0.83522,1.05255,0.82741,0.74727,0.84152,0.66486,0.84958,0.75902,0.99546,0.00107675,0.00107675,0.00107675
16,2010.6,0.98376,0.82922,1.05211,0.80717,0.76857,0.85376,0.66064,0.87861,0.74152,0.99834,0.00106437,0.00106437,0.00106437
17,2136.31,0.97322,0.81516,1.04531,0.80387,0.7607,0.84922,0.66716,0.85234,0.7346,0.98798,0.001052,0.001052,0.001052
18,2262.86,0.96775,0.80953,1.04207,0.82064,0.76981,0.86183,0.67958,0.85273,0.73243,0.98996,0.00103962,0.00103962,0.00103962
19,2393.37,0.95382,0.79355,1.03279,0.81802,0.77015,0.85813,0.67946,0.82965,0.71018,0.97941,0.00102725,0.00102725,0.00102725
20,2525.24,0.94624,0.78143,1.02797,0.83143,0.78014,0.87362,0.70829,0.80237,0.68877,0.96393,0.00101488,0.00101488,0.00101488
21,2656.47,0.92504,0.77885,1.02625,0.84396,0.76093,0.8645,0.69499,0.81933,0.70919,0.97291,0.0010025,0.0010025,0.0010025
22,2786.27,0.91501,0.769,1.02015,0.83039,0.78548,0.87172,0.70846,0.78772,0.68464,0.95898,0.000990125,0.000990125,0.000990125
23,2918.74,0.9112,0.75711,1.01717,0.84385,0.79411,0.87971,0.71498,0.78385,0.66852,0.95347,0.00097775,0.00097775,0.00097775
24,3049.41,0.89844,0.74673,1.01296,0.8376,0.78118,0.8752,0.71283,0.79402,0.67337,0.95902,0.000965375,0.000965375,0.000965375
25,3178.07,0.89703,0.74735,1.01377,0.80535,0.79992,0.87208,0.71516,0.77749,0.66569,0.95429,0.000953,0.000953,0.000953
26,3303.86,0.89661,0.74044,1.01191,0.84279,0.79665,0.88296,0.71657,0.78493,0.65699,0.95121,0.000940625,0.000940625,0.000940625
27,3428.13,0.88279,0.72235,1.00221,0.83473,0.81257,0.88722,0.73235,0.75302,0.64627,0.94126,0.00092825,0.00092825,0.00092825
28,3553.24,0.87661,0.72258,1.00724,0.84427,0.81467,0.89484,0.74016,0.75132,0.63315,0.94188,0.000915875,0.000915875,0.000915875
29,3681.08,0.87413,0.72088,1.00092,0.83328,0.80729,0.88582,0.73338,0.74427,0.62266,0.93704,0.0009035,0.0009035,0.0009035
30,3822.1,0.86199,0.71182,0.99802,0.82693,0.82296,0.89095,0.73199,0.74856,0.63002,0.93451,0.000891125,0.000891125,0.000891125
31,3971.08,0.85493,0.69362,0.98948,0.84488,0.81059,0.89115,0.73466,0.75525,0.61366,0.93856,0.00087875,0.00087875,0.00087875
32,4096.65,0.85493,0.69557,0.99394,0.85961,0.80369,0.89331,0.73031,0.75881,0.62036,0.9407,0.000866375,0.000866375,0.000866375
33,4225.38,0.85033,0.69344,0.99297,0.85144,0.7947,0.89122,0.73478,0.73915,0.61301,0.93333,0.000854,0.000854,0.000854
34,4353.51,0.84514,0.69741,0.99184,0.86462,0.81528,0.90427,0.75434,0.7232,0.59264,0.92446,0.000841625,0.000841625,0.000841625
35,4479.68,0.83543,0.67658,0.98125,0.85698,0.8144,0.8978,0.74354,0.73513,0.60559,0.92582,0.00082925,0.00082925,0.00082925
36,4608,0.8365,0.68725,0.98685,0.8612,0.82465,0.90739,0.75891,0.71285,0.58407,0.91822,0.000816875,0.000816875,0.000816875
37,4735.41,0.81945,0.66682,0.97812,0.86888,0.82595,0.90731,0.75771,0.69836,0.57222,0.91457,0.0008045,0.0008045,0.0008045
38,4863.72,0.81805,0.66181,0.97841,0.87146,0.83311,0.91242,0.76223,0.70696,0.57137,0.91885,0.000792125,0.000792125,0.000792125
39,4991.22,0.81908,0.65888,0.97755,0.87382,0.8285,0.91517,0.77086,0.69586,0.5589,0.91104,0.00077975,0.00077975,0.00077975
40,5122.49,0.80958,0.65138,0.97626,0.85934,0.83986,0.91374,0.771,0.69112,0.56487,0.90895,0.000767375,0.000767375,0.000767375
41,5250.67,0.80971,0.65076,0.97294,0.87754,0.83339,0.9155,0.77379,0.68604,0.55164,0.90625,0.000755,0.000755,0.000755
42,5379.15,0.79954,0.64407,0.97112,0.8678,0.82121,0.90945,0.76638,0.69431,0.55814,0.90793,0.000742625,0.000742625,0.000742625
43,5509.17,0.79497,0.63655,0.96564,0.8762,0.83472,0.91913,0.77966,0.67425,0.54036,0.89989,0.00073025,0.00073025,0.00073025
44,5639.15,0.80303,0.63616,0.96971,0.88463,0.83888,0.92515,0.7835,0.67227,0.53598,0.90069,0.000717875,0.000717875,0.000717875
45,5770.69,0.78345,0.63034,0.96454,0.87693,0.84857,0.92502,0.78554,0.66594,0.52782,0.89623,0.0007055,0.0007055,0.0007055
46,5902.44,0.7845,0.62346,0.96223,0.87714,0.8483,0.9228,0.78081,0.67867,0.53297,0.89693,0.000693125,0.000693125,0.000693125
