epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3898,1.39452,1.12643,1.20587,0.61178,0.498,0.50373,0.24614,1.82389,1.73043,1.58827,0.000664,0.000664,0.000664
2,109.866,1.29995,0.97503,1.17114,0.6681,0.58551,0.59958,0.28653,1.77974,1.58656,1.54641,0.00131749,0.00131749,0.00131749
3,165.606,1.27117,0.99317,1.17371,0.74745,0.58501,0.64828,0.33871,1.73831,1.38873,1.5008,0.00195779,0.00195779,0.00195779
4,225.602,1.19789,0.91105,1.13924,0.71038,0.62589,0.65328,0.33597,1.66452,1.29899,1.44856,0.0019406,0.0019406,0.0019406
5,283.623,1.12696,0.82872,1.09857,0.7578,0.63264,0.68905,0.3758,1.60511,1.24334,1.41433,0.0019208,0.0019208,0.0019208
6,341.765,1.06156,0.78284,1.07852,0.75675,0.64888,0.69997,0.38458,1.56499,1.19054,1.40043,0.001901,0.001901,0.001901
7,400.135,1.00669,0.73523,1.04294,0.77429,0.64724,0.70906,0.39963,1.51091,1.18325,1.35396,0.0018812,0.0018812,0.0018812
8,459.191,0.97363,0.70208,1.03574,0.75304,0.64759,0.69906,0.39146,1.54206,1.16582,1.37572,0.0018614,0.0018614,0.0018614
9,519.061,0.95901,0.69318,1.02534,0.80561,0.65359,0.72805,0.41578,1.49196,1.13333,1.35227,0.0018416,0.0018416,0.0018416
10,578.665,0.92508,0.67362,1.01724,0.7633,0.66643,0.71796,0.41252,1.48011,1.12804,1.34976,0.0018218,0.0018218,0.0018218
11,638.482,0.88684,0.64422,0.99635,0.79919,0.67153,0.74131,0.43727,1.42592,1.07249,1.30926,0.001802,0.001802,0.001802
12,698.238,0.85002,0.61424,0.9903,0.78204,0.67353,0.72489,0.41872,1.45454,1.11573,1.33882,0.0017822,0.0017822,0.0017822
13,756.373,0.85513,0.61783,0.99208,0.77831,0.68126,0.73412,0.43698,1.39095,1.08264,1.27487,0.0017624,0.0017624,0.0017624
14,813.864,0.83756,0.61433,0.98267,0.80738,0.6742,0.74912,0.45456,1.39523,1.08696,1.28073,0.0017426,0.0017426,0.0017426
15,874.209,0.82617,0.60228,0.97867,0.8157,0.6874,0.76055,0.45929,1.38149,1.04703,1.27594,0.0017228,0.0017228,0.0017228
16,1046.14,0.80738,0.58779,0.97514,0.79854,0.71127,0.7623,0.4594,1.36626,1.01275,1.27398,0.001703,0.001703,0.001703
17,1239.25,0.8128,0.58389,0.97124,0.8158,0.69388,0.76595,0.4758,1.32231,0.99018,1.24074,0.0016832,0.0016832,0.0016832
18,1406.02,0.77257,0.55915,0.95909,0.81478,0.70083,0.77595,0.4824,1.33333,0.97505,1.24973,0.0016634,0.0016634,0.0016634
19,1470.13,0.76744,0.55353,0.95635,0.80675,0.71473,0.77259,0.47848,1.3242,0.98892,1.25959,0.0016436,0.0016436,0.0016436
20,1531.23,0.7632,0.55918,0.96273,0.81856,0.71703,0.77986,0.48565,1.31731,0.98613,1.23799,0.0016238,0.0016238,0.0016238
21,1591.46,0.74857,0.54182,0.94772,0.82485,0.71916,0.78889,0.49501,1.29651,0.9635,1.23225,0.001604,0.001604,0.001604
22,1650.73,0.74938,0.54857,0.95264,0.81208,0.70461,0.77633,0.48556,1.29974,0.98137,1.24336,0.0015842,0.0015842,0.0015842
23,1709.75,0.73677,0.54108,0.9483,0.8215,0.73228,0.79534,0.49908,1.27786,0.95234,1.21134,0.0015644,0.0015644,0.0015644
24,1767.93,0.72041,0.52572,0.94225,0.83986,0.72724,0.80196,0.51861,1.26133,0.91928,1.21594,0.0015446,0.0015446,0.0015446
25,1825.9,0.71447,0.52173,0.93989,0.82686,0.73102,0.79698,0.50624,1.27255,0.92898,1.21197,0.0015248,0.0015248,0.0015248
26,1884.44,0.6989,0.51059,0.93592,0.84163,0.73827,0.80862,0.52735,1.23391,0.90144,1.19182,0.001505,0.001505,0.001505
27,1942.66,0.70099,0.50503,0.9317,0.84414,0.74304,0.81608,0.53216,1.23166,0.89288,1.18144,0.0014852,0.0014852,0.0014852
28,2001.79,0.71354,0.51704,0.93792,0.83089,0.73838,0.80277,0.52514,1.22499,0.90957,1.19389,0.0014654,0.0014654,0.0014654
29,2060.34,0.695,0.50604,0.93376,0.84374,0.73687,0.8114,0.5331,1.21616,0.90554,1.17833,0.0014456,0.0014456,0.0014456
30,2117.88,0.68835,0.5037,0.93065,0.85468,0.7372,0.81638,0.54003,1.21187,0.8975,1.18443,0.0014258,0.0014258,0.0014258
31,2176.01,0.68115,0.49184,0.93054,0.83557,0.75443,0.82063,0.54293,1.19666,0.87729,1.16563,0.001406,0.001406,0.001406
32,2234.04,0.68474,0.4997,0.92867,0.84999,0.75279,0.82425,0.54746,1.20103,0.86478,1.16718,0.0013862,0.0013862,0.0013862
33,2293.47,0.66943,0.49029,0.92947,0.84011,0.75615,0.82311,0.54543,1.19702,0.86795,1.17587,0.0013664,0.0013664,0.0013664
34,2352.89,0.66713,0.48383,0.9242,0.85301,0.74662,0.82435,0.54782,1.19595,0.86452,1.17156,0.0013466,0.0013466,0.0013466
35,2412.92,0.63716,0.46662,0.91658,0.85469,0.7523,0.82851,0.55989,1.15851,0.84218,1.15201,0.0013268,0.0013268,0.0013268
36,2470.85,0.65093,0.47103,0.91922,0.84947,0.76025,0.82675,0.55653,1.16612,0.85703,1.15207,0.001307,0.001307,0.001307
37,2528.2,0.64266,0.46843,0.91632,0.85811,0.76032,0.83673,0.56731,1.15988,0.84384,1.14919,0.0012872,0.0012872,0.0012872
38,2585.6,0.62979,0.46153,0.91123,0.85311,0.76335,0.83616,0.57188,1.12826,0.81969,1.12845,0.0012674,0.0012674,0.0012674
39,2642.84,0.62133,0.46028,0.90862,0.86013,0.76656,0.84012,0.57621,1.13679,0.82275,1.13652,0.0012476,0.0012476,0.0012476
40,2700.57,0.6463,0.4649,0.91487,0.86829,0.76297,0.83831,0.57633,1.1286,0.82956,1.13007,0.0012278,0.0012278,0.0012278
41,2758.87,0.62734,0.45455,0.91069,0.8678,0.76187,0.84561,0.58046,1.13758,0.81882,1.13602,0.001208,0.001208,0.001208
42,2816.35,0.6193,0.45749,0.91052,0.86531,0.76946,0.8467,0.58467,1.11261,0.81191,1.11843,0.0011882,0.0011882,0.0011882
43,2873.99,0.6079,0.44672,0.90744,0.87322,0.76609,0.84908,0.58745,1.11038,0.79439,1.11647,0.0011684,0.0011684,0.0011684
44,2931.02,0.59937,0.43962,0.90509,0.86216,0.78039,0.85133,0.59475,1.09179,0.78029,1.11438,0.0011486,0.0011486,0.0011486
45,2988.61,0.6015,0.43552,0.90317,0.86664,0.77602,0.8519,0.59067,1.10218,0.7813,1.10625,0.0011288,0.0011288,0.0011288
46,3046.09,0.60209,0.43623,0.90061,0.86573,0.77421,0.85115,0.5938,1.09102,0.77489,1.10216,0.001109,0.001109,0.001109
47,3103.64,0.59844,0.4378,0.9035,0.8668,0.7779,0.85088,0.59093,1.08892,0.7965,1.10708,0.0010892,0.0010892,0.0010892
48,3161.82,0.59958,0.43855,0.90164,0.86842,0.78071,0.8574,0.60493,1.06821,0.77308,1.09764,0.0010694,0.0010694,0.0010694
49,3219.62,0.59239,0.42944,0.90337,0.86978,0.78364,0.85814,0.60573,1.07469,0.76314,1.09885,0.0010496,0.0010496,0.0010496
50,3276.57,0.5729,0.41788,0.89331,0.87154,0.78768,0.86287,0.61368,1.06225,0.75582,1.08656,0.0010298,0.0010298,0.0010298
51,3333.86,0.57958,0.42021,0.89569,0.87088,0.78954,0.86045,0.61159,1.06322,0.76506,1.09703,0.00101,0.00101,0.00101
52,3390.8,0.57625,0.42005,0.8949,0.86784,0.78872,0.86035,0.61016,1.06344,0.75004,1.09098,0.0009902,0.0009902,0.0009902
53,3448.13,0.56749,0.40979,0.89269,0.87876,0.79213,0.86309,0.6124,1.05158,0.74004,1.08554,0.0009704,0.0009704,0.0009704
54,3505.19,0.55893,0.41333,0.8912,0.87415,0.79592,0.86583,0.61369,1.05157,0.73492,1.08796,0.0009506,0.0009506,0.0009506
55,3562.96,0.55724,0.40377,0.88606,0.88502,0.79012,0.87164,0.62513,1.03453,0.72293,1.07,0.0009308,0.0009308,0.0009308
56,3664.48,0.55516,0.40531,0.88807,0.87843,0.79722,0.87034,0.62257,1.03801,0.72262,1.07829,0.000911,0.000911,0.000911
57,3856.28,0.55069,0.40095,0.88574,0.88457,0.79173,0.86764,0.62378,1.03465,0.73188,1.07991,0.0008912,0.0008912,0.0008912
58,4049.31,0.54888,0.3977,0.88557,0.88463,0.80065,0.87384,0.62694,1.0298,0.71078,1.07258,0.0008714,0.0008714,0.0008714
59,4243.36,0.54913,0.39833,0.88842,0.8852,0.80339,0.87469,0.63241,1.02112,0.70261,1.06453,0.0008516,0.0008516,0.0008516
60,4438.42,0.5476,0.39841,0.88393,0.88393,0.80206,0.87396,0.63352,1.00851,0.69973,1.06213,0.0008318,0.0008318,0.0008318
61,4634.65,0.53929,0.39173,0.88253,0.88152,0.8111,0.8793,0.63843,1.02184,0.69209,1.06673,0.000812,0.000812,0.000812
62,4831.45,0.53341,0.38693,0.88039,0.89331,0.8032,0.88044,0.64345,0.9992,0.68321,1.05816,0.0007922,0.0007922,0.0007922
63,5028.56,0.52275,0.38315,0.87726,0.88846,0.80904,0.88305,0.64391,0.99648,0.67845,1.05281,0.0007724,0.0007724,0.0007724
64,5226.68,0.54126,0.38987,0.88698,0.89439,0.80877,0.88468,0.64572,0.99617,0.68176,1.0598,0.0007526,0.0007526,0.0007526
65,5425.62,0.54173,0.39262,0.88402,0.88508,0.80909,0.88245,0.64657,0.9924,0.69053,1.05621,0.0007328,0.0007328,0.0007328
66,5624.28,0.53255,0.38306,0.88061,0.88556,0.81838,0.88512,0.65086,0.97873,0.66905,1.04394,0.000713,0.000713,0.000713
67,5822.08,0.5329,0.38906,0.88435,0.89097,0.81659,0.88547,0.65493,0.9671,0.65625,1.03891,0.0006932,0.0006932,0.0006932
68,6020.38,0.51702,0.37416,0.87832,0.89889,0.81491,0.89054,0.65733,0.96889,0.66266,1.03876,0.0006734,0.0006734,0.0006734
69,6217.7,0.51925,0.37636,0.87576,0.89691,0.81877,0.89087,0.6595,0.96563,0.6503,1.03718,0.0006536,0.0006536,0.0006536
70,6415.01,0.51863,0.37905,0.87635,0.89832,0.81765,0.8894,0.65783,0.96838,0.65209,1.03652,0.0006338,0.0006338,0.0006338
71,6612.15,0.50496,0.36759,0.87325,0.8974,0.82016,0.89309,0.66485,0.95513,0.64621,1.0245,0.000614,0.000614,0.000614
72,6809.95,0.50736,0.36963,0.87502,0.90078,0.82013,0.89252,0.6661,0.94962,0.63425,1.0247,0.0005942,0.0005942,0.0005942
73,7008.74,0.5059,0.36758,0.86945,0.89497,0.82372,0.89267,0.66486,0.9451,0.64058,1.02531,0.0005744,0.0005744,0.0005744
