epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4605,1.37424,2.16605,1.44381,0.42044,0.44459,0.40573,0.22729,1.49214,2.00499,1.34786,0.000467827,0.000467827,0.000467827
2,25.4406,1.26782,1.3989,1.35958,0.39885,0.46062,0.35174,0.18047,1.63604,2.17692,1.6028,0.000934814,0.000934814,0.000934814
3,37.2901,1.26779,1.40654,1.3643,0.34262,0.51796,0.40102,0.21598,1.61661,1.69374,1.63168,0.00139237,0.00139237,0.00139237
4,49.5092,1.29781,1.39047,1.40757,0.51998,0.44438,0.45019,0.23134,1.69447,1.74724,1.59126,0.00138656,0.00138656,0.00138656
5,62.5082,1.25877,1.20774,1.36254,0.50718,0.35811,0.40021,0.22206,1.60059,2.08982,1.59978,0.00137241,0.00137241,0.00137241
6,75.2259,1.20442,1.12845,1.34959,0.53597,0.59198,0.53051,0.28322,1.57433,1.56498,1.52732,0.00135826,0.00135826,0.00135826
7,88.2468,1.19991,1.13461,1.325,0.47928,0.59264,0.51154,0.28214,1.53381,1.61242,1.5287,0.00134412,0.00134412,0.00134412
8,101.039,1.16089,1.11014,1.31462,0.61517,0.59886,0.60901,0.3418,1.55285,1.34058,1.50518,0.00132997,0.00132997,0.00132997
9,114.398,1.11727,1.02255,1.30294,0.65866,0.53398,0.60799,0.34712,1.50372,1.30616,1.51153,0.00131582,0.00131582,0.00131582
10,127.355,1.09476,0.99074,1.27398,0.7205,0.65637,0.69979,0.39719,1.4963,1.15229,1.50648,0.00130168,0.00130168,0.00130168
11,140.392,1.07475,0.98899,1.27879,0.69546,0.60391,0.67295,0.40149,1.41787,1.19206,1.48779,0.00128753,0.00128753,0.00128753
12,153.851,1.05891,0.93255,1.26967,0.64524,0.6767,0.64465,0.38878,1.41679,1.16687,1.46561,0.00127338,0.00127338,0.00127338
13,167.054,1.04212,0.88869,1.25164,0.66932,0.62655,0.66711,0.40458,1.42528,1.1772,1.44585,0.00125923,0.00125923,0.00125923
14,180.205,1.00901,0.86374,1.2203,0.68689,0.65014,0.68436,0.39308,1.44398,1.22438,1.4485,0.00124509,0.00124509,0.00124509
15,193.588,0.98304,0.86392,1.21276,0.70917,0.6511,0.68533,0.39437,1.43685,1.09828,1.44002,0.00123094,0.00123094,0.00123094
16,206.955,0.97727,0.84616,1.19585,0.65949,0.67492,0.71949,0.43809,1.36367,1.06978,1.37987,0.00121679,0.00121679,0.00121679
17,220.41,0.97035,0.83216,1.19453,0.67474,0.64075,0.71816,0.43057,1.38427,1.15325,1.4556,0.00120265,0.00120265,0.00120265
18,233.786,0.92423,0.7939,1.16589,0.61405,0.66024,0.65947,0.39639,1.39063,1.24622,1.3786,0.0011885,0.0011885,0.0011885
19,247.082,0.88662,0.74923,1.14842,0.78668,0.67234,0.75586,0.47884,1.32679,0.97747,1.41772,0.00117435,0.00117435,0.00117435
20,260.505,0.87779,0.77646,1.15169,0.75159,0.6919,0.73396,0.45979,1.33648,1.01652,1.40792,0.00116021,0.00116021,0.00116021
21,273.944,0.86285,0.74697,1.14377,0.75514,0.69847,0.75689,0.46921,1.30875,0.94195,1.37011,0.00114606,0.00114606,0.00114606
22,287.549,0.86377,0.71365,1.13595,0.78024,0.73213,0.77361,0.48666,1.31084,0.93669,1.35609,0.00113191,0.00113191,0.00113191
23,301.132,0.85117,0.70461,1.1195,0.77103,0.72324,0.77857,0.47758,1.31581,0.93753,1.37503,0.00111776,0.00111776,0.00111776
24,314.625,0.83101,0.71784,1.12899,0.6968,0.71005,0.78442,0.48523,1.31664,0.98205,1.3837,0.00110362,0.00110362,0.00110362
